region,price,garage,bedrooms,bathrooms,datebuilt,floorarea,detached,fireplace,agelessthan15,age65andover,nonwhite,unemploy,ownocc,carsperhh,manuf
1,28450,0,2,1,1909,73.4,0,0,19.93,15.02,3.03,4.84,58.461,0.546,25.617
6,27500,0,2,1,1982,67.2,0,0,27.86,7.92,0.768,3.25,52.889,0.872,25.521
6,32450,1,2,1,1973,75.4,0,0,25.06,11.52,1.203,9.25,59.243,1.061,31.024
5,20750,0,1,2,1961,58.5,0,0,25.55,12.2,1.048,2.12,57.794,0.524,38.418
6,29500,0,2,1,1963,67.5,0,0,29.23,9.11,1.86,1.05,57.803,0.906,22.39
6,14150,0,1,1,1974,61.3,0,0,24.75,11,0.342,6.12,54.725,0.766,39.06
3,89500,1,6,1,1958,220.3,0,0,19.49,23.29,1.865,6.53,59.439,0.734,18.981
3,64500,1,3,1,1934,104,0,0,17.82,23.26,0.335,6.47,59.582,0.858,23.018
3,34000,0,3,1,1972,102.7,0,1,24.22,15.59,0.87,8.26,54.118,0.497,19.111
5,36000,0,3,1,1911,160,0,1,18.35,19.68,0.661,4.36,58.097,0.903,23.522
5,25000,1,3,1,1878,109.2,0,1,19.42,16.58,0.147,4.86,59.665,0.751,11.521
3,43000,0,1,1,1998,57.3,0,0,14.86,22.15,1.385,0.07,57.837,0.898,18.34
2,136500,1,5,2,1909,267.7,0,1,15.77,18.62,5.639,0.52,56.138,0.925,17.515
6,35000,0,1,1,1928,92.8,0,1,19.02,19.78,0.081,2.86,60.174,0.723,13.319
2,69500,0,4,1,1905,133,0,0,20.43,19.24,4.407,2.57,53.04,1.215,14.051
6,20250,0,3,1,1915,84.9,0,1,19.82,19.38,0.843,9.86,56.031,0.549,22.217
6,26500,0,2,1,1964,90.5,0,1,24.75,10.6,0.397,6.12,52.689,0.65,27.985
5,31350,0,2,2,1917,69.2,0,1,19.32,18.86,1.272,0,54.4,1.153,11.816
5,21000,0,3,1,1923,77.3,0,0,28.37,12.12,0.985,9.36,51.89,0.646,33.245
6,34500,0,1,2,1902,71.3,0,1,22.06,16.32,3.457,6.16,52.357,0.243,24.03
6,35000,0,3,1,1980,58.4,0,1,22.82,18.34,1.551,5.73,60.214,0.886,18.335
5,31500,0,2,1,1978,57.1,0,0,21.14,14.63,1.073,2.75,60.237,0.506,14.361
6,47450,0,4,1,1907,134.7,0,1,26.35,12.6,0.657,3.12,60.561,0.313,28.834
5,21500,0,2,1,1959,51.1,0,0,21.79,17.05,0.333,5,55.16,0.529,33.149
3,36250,1,2,1,1942,80.4,0,0,17.76,19.16,1.135,2.81,60.555,0.462,26.679
3,62000,1,2,1,1903,155,0,1,22.64,20.21,0.366,2.37,56.19,1.238,8.697
3,74500,1,3,1,1961,114.2,1,0,22.3,16.22,0.421,8.93,52.047,0.788,9.277
3,22500,1,2,1,1887,70.8,0,0,25.09,16.32,1.604,13.92,61.531,0.15,25.727
3,73500,1,3,1,1934,133.7,0,0,22.01,21.66,2.338,1.54,58.827,0.963,3.321
3,19500,0,4,1,1996,79.2,0,0,20.01,19.66,1.983,4.54,58.664,0.612,5.818
3,31000,1,2,1,1905,86.5,0,0,14.46,21.35,1.272,0.07,54.93,0.44,13.7
2,50000,1,3,1,1980,82.1,0,0,15.73,22.58,4.55,4.2,54.491,0.957,20.319
3,39500,1,2,1,1932,72.9,0,0,21.9,17.42,0.967,3.93,51.775,0.395,15.302
2,124500,0,4,1,1909,215.2,0,1,15.37,17.42,5.203,5.52,52.007,0.745,6.621
2,29500,0,2,1,1984,66.2,0,0,23.35,16.2,2.891,0.34,60.529,1.065,19.954
2,29500,1,3,2,1970,91.6,0,1,24.85,15.37,1.578,6.26,51.928,0.861,18.199
1,49500,1,2,1,1974,88.1,0,0,21.82,15.06,0.721,4.46,61.272,0.874,27.757
2,63000,1,3,1,1971,108.6,0,0,21.65,15.37,0.905,11.26,54.434,0.655,5.973
3,52500,0,3,1,1907,114.5,0,1,14.46,21.35,1.097,0.07,57.403,0.998,14.35
1,31000,0,2,1,1903,92.8,0,1,21.24,16.75,0.534,2.29,52.583,0.554,11.375
1,31000,0,2,1,1913,90.8,0,1,20.04,17.55,0.14,6.29,60.031,0.819,24.409
2,29000,0,2,1,1929,90.4,0,0,18.59,19.23,0.563,6.75,57.953,0.756,7.947
1,19500,0,2,1,1929,90.3,0,0,19.64,18.75,0.41,1.29,60.742,1.052,10.218
1,43500,0,2,1,1905,111.4,0,1,18.94,16.81,0.313,6.87,60.711,1.028,19.548
3,36000,0,2,1,1915,81.4,0,1,17.91,21.38,0.807,10.87,53.599,0.496,13.974
5,47500,1,2,1,1969,87.8,0,0,27.23,7.51,2.044,6.05,57.093,0.727,31.856
2,85500,1,3,1,1928,134.5,0,0,19.23,21.64,4.401,4.57,61.111,0.783,4.82
2,62500,1,3,1,1969,115.3,0,0,21.35,14.2,2.773,1.34,61.141,0.988,11.19
2,46500,1,3,1,1944,98.1,0,0,16.53,23.78,4.431,3.2,56.962,0.776,12.967
2,46000,0,2,1,1889,78,0,1,16.93,23.38,4.631,2.2,54.878,0.91,19.017
3,59450,1,4,1,1964,118.3,1,0,17.36,20.03,0.346,3.74,56.578,0.928,9.764
2,69500,0,4,1,1963,115.2,1,0,20.95,16.2,3.071,6.34,51.834,1.252,8.913
3,25500,0,2,1,1895,85.7,0,0,17.88,21.28,0.538,9.07,54.322,0.537,32.858
3,82500,1,3,2,1947,158.2,0,0,18.62,26.86,0.267,4.47,56.607,0.84,18.311
3,35500,0,2,1,1980,67.8,0,0,22.17,16.81,1.837,8.54,57.429,0.553,19.389
3,65500,1,3,1,1934,125.3,0,0,19.84,19.81,0.805,2.37,54.968,1.045,11.832
2,31500,0,5,1,1971,121.1,0,1,23.69,13.51,0.142,10.19,58.177,0.391,21.48
5,59450,1,3,1,1991,86.2,1,0,19.61,16.19,0.579,5.18,57.378,0.881,22.061
5,57500,1,2,1,1936,119.4,0,0,18.18,18.49,0.636,7.96,60.689,0.88,9.252
1,54500,0,4,1,1905,127.7,0,0,18.6,22,1.504,5.65,54.155,1,8.021
1,24000,0,3,1,1909,85,0,1,19.78,14.97,1.501,12.29,55.074,0.365,18.718
1,22300,0,3,1,1905,86.4,0,0,20.33,16.22,2.969,7.84,59.792,0.377,22.603
1,28450,0,2,2,1915,82.3,0,0,19.39,18.72,0.437,6.11,53.629,0.431,30.903
1,48500,1,3,1,1966,125.6,0,0,19.42,15.86,0.502,7.46,52.802,0.555,28.983
1,27500,0,2,1,1905,78.2,0,0,26.48,16.81,1.622,8.4,58.357,0.451,21.103
1,33500,0,3,1,1905,125,0,1,23.13,15.68,1.377,7.19,54.654,0.774,10.49
1,27000,0,2,1,1905,91.9,0,0,19.38,14.57,0.97,11.29,59.125,0.504,27.701
1,24000,0,3,1,1915,89.5,0,0,19.13,18.62,3.337,5.84,54.596,0.417,18.454
1,19450,0,1,1,1992,20.1,0,0,21.69,14.51,0.39,10.38,57.234,0.471,31.592
1,18500,0,1,1,1978,38.1,0,0,21.29,13.71,0.615,8.38,60.457,0.332,31.409
1,21250,0,2,1,1901,88.6,0,0,19.53,17.02,2.699,3.84,56.338,0.534,13.334
1,45500,0,3,1,1936,91.3,0,0,19.93,16.48,1.264,6.19,61.081,0.504,13.696
1,20000,0,2,1,1912,78.5,0,0,19.13,17.42,3.384,8.84,52.342,0.305,29.033
1,27500,0,2,1,1884,119.5,0,1,26.48,16.01,1.633,10.4,58.258,0.033,16.139
1,19450,0,3,1,1917,82.4,0,0,19.16,19.27,0.674,13.52,52.48,0.286,20.24
1,23500,0,3,1,1913,77.2,0,0,24.08,15.61,2.385,11.4,59.032,0.619,13.246
1,25200,0,3,1,1911,85.7,0,0,22.73,14.08,1.008,8.19,57.695,0.764,20.734
1,26500,0,1,1,1973,41.1,0,0,22.09,15.71,0,11.38,57.337,0.61,30.014
1,36500,0,3,2,1938,94.5,0,0,21.84,17.91,0.342,12.25,60.306,0.06,22.42
1,23500,0,1,1,1909,88,0,0,19.13,18.22,3.019,6.84,60.102,0.397,29.821
1,20000,0,1,1,1901,71.7,0,0,18.73,17.82,2.766,5.84,57.199,0.454,14.263
1,15500,0,2,1,1909,83.8,0,0,21.38,16.97,1.643,12.29,59.455,0.195,21.679
1,23500,0,2,2,1907,82.7,0,0,23.68,16.81,1.828,11.4,61.597,0.359,26.01
1,25500,0,3,1,1913,89.9,0,0,19.68,20.54,0.961,3.98,58.152,0.351,30.528
1,19000,0,2,1,1905,88.6,0,0,20.58,16.57,1.015,14.29,61.023,0.373,23.968
1,38500,0,2,2,1983,53.2,0,0,20.21,21.11,0.344,9.08,58.289,0.462,20.224
1,26450,0,2,2,1911,86.4,0,0,21.53,14.08,1.031,6.19,52.726,0.34,15.421
1,48000,1,3,1,1961,75.5,0,0,22.62,17.46,0.665,7.46,58.168,0.801,24.593
1,23500,0,3,1,1941,87.4,0,0,18.48,19.34,0.259,0.98,61.354,0.828,25.665
1,31000,1,2,1,1946,75.1,0,0,18.48,20.54,0.481,7.98,61.642,0.626,26.815
1,28500,0,1,2,1979,51.5,0,0,19.68,19.74,0.351,1.98,58.734,0.269,24.081
1,23000,0,2,1,1901,78.9,0,1,19.93,17.42,3.06,2.84,60.765,0.775,21.117
1,18500,0,2,1,1899,71.9,0,0,19.93,17.82,2.9,8.84,57.67,0.658,12.47
1,24500,0,2,2,1907,74.2,0,0,20.98,16.97,1.143,14.29,57.248,0.466,22.632
1,17500,0,2,1,1905,77.4,0,0,21.53,14.08,1.096,4.19,53.193,0.327,26.141
1,34500,0,3,1,1952,92.1,0,1,18.98,14.97,1.394,14.29,58.396,0.539,28.113
1,27000,0,2,1,1913,105.4,0,0,20.73,15.82,2.974,10.84,52.99,0.692,21.289
1,19500,0,2,1,1917,87.3,0,0,21.13,16.48,0.733,5.19,61.524,0.339,25.759
1,23000,0,2,1,1905,78.2,0,1,22.73,15.28,0.871,12.19,60.931,0.222,10.999
1,42000,1,3,1,1919,106.9,0,1,17.79,17.92,1.085,10.11,56.795,0.848,32.109
