"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"80","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 00:59:27,FALSE,NA,"1104909665563893766",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deborahpacute",103,TRUE,FALSE,NA,NA
"81","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 00:58:06,FALSE,NA,"1104909327108780033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsyahboiulo",103,TRUE,FALSE,NA,NA
"82","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 00:57:38,FALSE,NA,"1104909207881433088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andrewoohhh",103,TRUE,FALSE,NA,NA
"83","I bet Jon wins the throne and melts down the iron throne because it would be more practical to use the iron for wea… https://t.co/v7Gct019Rh",FALSE,0,NA,2019-03-11 00:56:36,TRUE,NA,"1104908950913404931",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caseyrowlandd",0,FALSE,FALSE,NA,NA
"84","#GameOfThones Bleed For The Throne experience. #SXSW2019⁠ ⁠ #SXSW⁠ ⁠
Shout out to @HBO for this amazing experience. https://t.co/57G6NvThCH",FALSE,1,NA,2019-03-11 00:55:44,FALSE,NA,"1104908732088152064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annienota1",0,FALSE,FALSE,NA,NA
"85","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 00:54:33,FALSE,NA,"1104908435798310913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YourKazzaky",103,TRUE,FALSE,NA,NA
"86","plan for today 
work 12 to 9 
home food , shower, 
and in bed to watch #GameOfThones , @bbceastenders , #masterchef… https://t.co/EGbFI0K0Sf",FALSE,0,NA,2019-03-11 00:54:23,TRUE,NA,"1104908390143328257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RickiKenny",0,FALSE,FALSE,NA,NA
"87","カール・ドロゴ！
デカい！
#GOT 
#GameOfThones https://t.co/abaUm4HqY4",FALSE,0,NA,2019-03-11 00:54:14,FALSE,NA,"1104908353904373760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tadanobu15",0,FALSE,FALSE,NA,NA
"88","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 00:53:49,FALSE,NA,"1104908250753904642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lu_soto871",53,TRUE,FALSE,NA,NA
"89","Guys....Uncle Benjen’s entire life’s purpose was to save his two nephew’s life... a whole life just for them #GameOfThones #GOT",FALSE,1,NA,2019-03-11 00:53:13,FALSE,NA,"1104908098492354560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Katastrophe98",0,FALSE,FALSE,NA,NA
